experimento,fitness
PSO V3-STD_TENT,51.0
PSO V3-STD_TENT,47.0
PSO V3-STD_TENT,48.0
PSO V3-STD_TENT,46.0
PSO V3-STD_TENT,46.0
PSO V3-STD_TENT,49.0
PSO V3-STD_TENT,43.0
PSO V3-STD_TENT,42.0
PSO V3-STD_TENT,49.0
PSO V3-STD_TENT,50.0
PSO V3-STD_TENT,48.0
PSO V3-STD_TENT,47.0
PSO V3-STD_TENT,52.0
PSO V3-STD_TENT,45.0
PSO V3-STD_TENT,46.0
PSO V3-STD_TENT,45.0
PSO V3-STD_TENT,50.0
PSO V3-STD_TENT,41.0
PSO V3-STD_TENT,49.0
PSO V3-STD_TENT,46.0
PSO V3-STD_TENT,47.0
PSO V3-STD_TENT,47.0
PSO V3-STD_TENT,43.0
PSO V3-STD_TENT,45.0
PSO V3-STD_TENT,44.0
PSO V3-STD_TENT,40.0
PSO V3-STD_CIRCLE,45.0
PSO V3-STD_CIRCLE,49.0
PSO V3-STD_CIRCLE,46.0
PSO V3-STD_CIRCLE,42.0
PSO V3-STD_CIRCLE,43.0
PSO V3-STD_CIRCLE,50.0
PSO V3-STD_CIRCLE,46.0
PSO V3-STD_CIRCLE,49.0
PSO V3-STD_CIRCLE,44.0
PSO V3-STD_CIRCLE,47.0
PSO V3-STD_CIRCLE,44.0
PSO V3-STD_CIRCLE,46.0
PSO V3-STD_CIRCLE,52.0
PSO V3-STD_CIRCLE,46.0
PSO V3-STD_CIRCLE,47.0
PSO V3-STD_CIRCLE,43.0
PSO V3-STD_CIRCLE,48.0
PSO V3-STD_CIRCLE,48.0
PSO V3-STD_CIRCLE,48.0
PSO V3-STD_CIRCLE,43.0
PSO V3-STD_CIRCLE,49.0
PSO V3-STD_CIRCLE,47.0
PSO V3-STD_CIRCLE,47.0
PSO V3-STD_CIRCLE,49.0
PSO V3-STD_CIRCLE,52.0
PSO V3-STD_CIRCLE,46.0
PSO V3-STD_CIRCLE,48.0
PSO V3-STD_CIRCLE,48.0
PSO V3-STD_CIRCLE,46.0
PSO V3-STD_CIRCLE,46.0
PSO V3-STD_CIRCLE,46.0
PSO V3-ELIT,40.0
PSO V3-ELIT,40.0
PSO V3-ELIT,42.0
PSO V3-ELIT,43.0
PSO V3-ELIT,41.0
PSO V3-ELIT,41.0
PSO V3-ELIT,41.0
PSO V3-ELIT,41.0
PSO V3-ELIT,42.0
PSO V3-ELIT,41.0
PSO V3-ELIT,41.0
PSO V3-ELIT,42.0
