experimento,fitness
PSO V3-STD,40.0
PSO V3-STD,44.0
PSO V3-STD,40.0
PSO V3-STD,45.0
PSO V3-STD,43.0
PSO V3-STD,43.0
PSO V3-STD,44.0
PSO V3-STD,39.0
PSO V3-STD,40.0
PSO V3-STD,45.0
PSO V3-STD,45.0
PSO V3-STD,42.0
PSO V3-STD,45.0
PSO V3-STD,40.0
PSO V3-STD,41.0
PSO V3-STD,40.0
PSO V3-STD,43.0
PSO V3-STD,41.0
PSO V3-STD,37.0
PSO V3-STD,39.0
PSO V3-STD,41.0
PSO V3-STD,42.0
PSO V3-STD,42.0
PSO V3-STD,40.0
PSO V3-STD,39.0
PSO V3-STD,43.0
PSO V3-STD,45.0
PSO V3-STD,45.0
PSO V3-STD,44.0
PSO V3-STD,42.0
PSO V3-STD,43.0
PSO V3-STD_LOG,44.0
PSO V3-STD_LOG,43.0
PSO V3-STD_LOG,39.0
PSO V3-STD_LOG,39.0
PSO V3-STD_LOG,42.0
PSO V3-STD_LOG,41.0
PSO V3-STD_LOG,42.0
PSO V3-STD_LOG,40.0
PSO V3-STD_LOG,44.0
PSO V3-STD_LOG,42.0
PSO V3-STD_LOG,43.0
PSO V3-STD_LOG,42.0
PSO V3-STD_LOG,44.0
PSO V3-STD_LOG,40.0
PSO V3-STD_LOG,46.0
PSO V3-STD_LOG,42.0
PSO V3-STD_LOG,44.0
PSO V3-STD_LOG,40.0
PSO V3-STD_LOG,40.0
PSO V3-STD_LOG,42.0
PSO V3-STD_LOG,43.0
PSO V3-STD_LOG,46.0
PSO V3-STD_LOG,40.0
PSO V3-STD_LOG,41.0
PSO V3-STD_LOG,41.0
PSO V3-STD_LOG,39.0
PSO V3-STD_LOG,45.0
PSO V3-STD_LOG,47.0
PSO V3-STD_LOG,44.0
PSO V3-STD_LOG,46.0
PSO V3-STD_LOG,43.0
PSO V3-STD_PIECE,41.0
PSO V3-STD_PIECE,42.0
PSO V3-STD_PIECE,44.0
PSO V3-STD_PIECE,39.0
PSO V3-STD_PIECE,42.0
PSO V3-STD_PIECE,41.0
PSO V3-STD_PIECE,40.0
PSO V3-STD_PIECE,38.0
PSO V3-STD_PIECE,43.0
PSO V3-STD_PIECE,44.0
PSO V3-STD_PIECE,47.0
PSO V3-STD_PIECE,42.0
PSO V3-STD_PIECE,45.0
PSO V3-STD_PIECE,42.0
PSO V3-STD_PIECE,40.0
PSO V3-STD_PIECE,47.0
