experimento,fitness
PSO V3-STD,69.0
PSO V3-STD,65.0
PSO V3-STD,67.0
PSO V3-STD,70.0
PSO V3-STD,64.0
PSO V3-STD,67.0
PSO V3-STD,64.0
PSO V3-STD,63.0
PSO V3-STD,66.0
PSO V3-STD,68.0
PSO V3-STD,63.0
PSO V3-STD,65.0
PSO V3-STD,60.0
PSO V3-STD,69.0
PSO V3-STD,71.0
PSO V3-STD,66.0
PSO V3-STD,64.0
PSO V3-STD,63.0
PSO V3-STD,66.0
PSO V3-STD,64.0
PSO V3-STD,66.0
PSO V3-STD,64.0
PSO V3-STD,67.0
PSO V3-STD,65.0
PSO V3-STD,65.0
PSO V3-STD,64.0
PSO V3-STD,63.0
PSO V3-STD,69.0
PSO V3-STD,63.0
PSO V3-STD,69.0
PSO V3-STD,62.0
PSO V3-STD_LOG,64.0
PSO V3-STD_LOG,65.0
PSO V3-STD_LOG,67.0
PSO V3-STD_LOG,70.0
PSO V3-STD_LOG,66.0
PSO V3-STD_LOG,67.0
PSO V3-STD_LOG,67.0
PSO V3-STD_LOG,68.0
PSO V3-STD_LOG,70.0
PSO V3-STD_LOG,72.0
PSO V3-STD_LOG,69.0
PSO V3-STD_LOG,65.0
PSO V3-STD_LOG,65.0
PSO V3-STD_LOG,66.0
PSO V3-STD_LOG,68.0
PSO V3-STD_LOG,65.0
PSO V3-STD_LOG,67.0
PSO V3-STD_LOG,65.0
PSO V3-STD_LOG,67.0
PSO V3-STD_LOG,71.0
PSO V3-STD_LOG,69.0
PSO V3-STD_LOG,66.0
PSO V3-STD_LOG,71.0
PSO V3-STD_LOG,70.0
PSO V3-STD_LOG,68.0
PSO V3-STD_LOG,70.0
PSO V3-STD_LOG,68.0
PSO V3-STD_LOG,68.0
PSO V3-STD_LOG,68.0
PSO V3-STD_LOG,65.0
PSO V3-STD_LOG,69.0
PSO V3-STD_PIECE,67.0
PSO V3-STD_PIECE,67.0
PSO V3-STD_PIECE,63.0
PSO V3-STD_PIECE,65.0
PSO V3-STD_PIECE,65.0
PSO V3-STD_PIECE,68.0
PSO V3-STD_PIECE,69.0
PSO V3-STD_PIECE,65.0
PSO V3-STD_PIECE,66.0
PSO V3-STD_PIECE,65.0
PSO V3-STD_PIECE,69.0
PSO V3-STD_PIECE,67.0
PSO V3-STD_PIECE,65.0
PSO V3-STD_PIECE,70.0
PSO V3-STD_PIECE,68.0
PSO V3-STD_PIECE,62.0
PSO V3-STD_PIECE,64.0
PSO V3-STD_PIECE,64.0
PSO V3-STD_PIECE,63.0
PSO V3-STD_PIECE,67.0
PSO V3-STD_PIECE,66.0
PSO V3-STD_PIECE,64.0
