experimento,fitness
PSO V3-STD_TENT,21.0
PSO V3-STD_TENT,22.0
PSO V3-STD_TENT,21.0
PSO V3-STD_TENT,21.0
PSO V3-STD_TENT,20.0
PSO V3-STD_TENT,21.0
PSO V3-STD_TENT,21.0
PSO V3-STD_TENT,20.0
PSO V3-STD_TENT,21.0
PSO V3-STD_TENT,21.0
PSO V3-STD_TENT,22.0
PSO V3-STD_TENT,20.0
PSO V3-STD_TENT,21.0
PSO V3-STD_TENT,20.0
PSO V3-STD_TENT,20.0
PSO V3-STD_TENT,21.0
PSO V3-STD_TENT,20.0
PSO V3-STD_TENT,21.0
PSO V3-STD_TENT,21.0
PSO V3-STD_TENT,21.0
PSO V3-STD_TENT,21.0
PSO V3-STD_TENT,20.0
PSO V3-STD_TENT,21.0
PSO V3-STD_TENT,20.0
PSO V3-STD_TENT,20.0
PSO V3-STD_TENT,21.0
PSO V3-STD_CIRCLE,18.0
PSO V3-STD_CIRCLE,19.0
PSO V3-STD_CIRCLE,20.0
PSO V3-STD_CIRCLE,20.0
PSO V3-STD_CIRCLE,20.0
PSO V3-STD_CIRCLE,19.0
PSO V3-STD_CIRCLE,19.0
PSO V3-STD_CIRCLE,20.0
PSO V3-STD_CIRCLE,19.0
PSO V3-STD_CIRCLE,19.0
PSO V3-STD_CIRCLE,19.0
PSO V3-STD_CIRCLE,19.0
PSO V3-STD_CIRCLE,19.0
PSO V3-STD_CIRCLE,20.0
PSO V3-STD_CIRCLE,20.0
PSO V3-STD_CIRCLE,20.0
PSO V3-STD_CIRCLE,20.0
PSO V3-STD_CIRCLE,19.0
PSO V3-STD_CIRCLE,20.0
PSO V3-STD_CIRCLE,19.0
PSO V3-STD_CIRCLE,19.0
PSO V3-STD_CIRCLE,18.0
PSO V3-STD_CIRCLE,19.0
PSO V3-STD_CIRCLE,20.0
PSO V3-STD_CIRCLE,20.0
PSO V3-STD_CIRCLE,20.0
PSO V3-STD_CIRCLE,20.0
PSO V3-STD_CIRCLE,20.0
PSO V3-STD_CIRCLE,18.0
PSO V3-STD_CIRCLE,19.0
PSO V3-STD_CIRCLE,19.0
PSO V3-ELIT,17.0
PSO V3-ELIT,18.0
PSO V3-ELIT,18.0
PSO V3-ELIT,18.0
PSO V3-ELIT,18.0
PSO V3-ELIT,18.0
PSO V3-ELIT,19.0
PSO V3-ELIT,18.0
PSO V3-ELIT,18.0
PSO V3-ELIT,18.0
PSO V3-ELIT,18.0
PSO V3-ELIT,18.0
PSO V3-ELIT,18.0
PSO V3-ELIT,18.0
PSO V3-ELIT,18.0
PSO V3-ELIT,19.0
PSO V3-ELIT,18.0
PSO V3-ELIT,18.0
PSO V3-ELIT,18.0
PSO V3-ELIT,18.0
PSO V3-ELIT,18.0
PSO V3-ELIT,18.0
PSO V3-ELIT,18.0
PSO V3-ELIT,18.0
PSO V3-ELIT,18.0
PSO V3-ELIT,18.0
PSO V3-ELIT,19.0
PSO V3-ELIT,18.0
PSO V3-ELIT,18.0
PSO V3-ELIT,18.0
PSO V3-ELIT,18.0
PSO V3-ELIT_LOG,18.0
PSO V3-ELIT_LOG,17.0
PSO V3-ELIT_LOG,18.0
PSO V3-ELIT_LOG,18.0
PSO V3-ELIT_LOG,18.0
PSO V3-ELIT_LOG,18.0
PSO V3-ELIT_LOG,18.0
PSO V3-ELIT_LOG,18.0
PSO V3-ELIT_LOG,18.0
PSO V3-ELIT_LOG,18.0
PSO V3-ELIT_LOG,18.0
PSO V3-ELIT_LOG,18.0
PSO V3-ELIT_LOG,18.0
PSO V3-ELIT_LOG,18.0
PSO V3-ELIT_LOG,18.0
PSO V3-ELIT_LOG,18.0
PSO V3-ELIT_LOG,18.0
PSO V3-ELIT_LOG,18.0
PSO V3-ELIT_LOG,18.0
PSO V3-ELIT_LOG,18.0
PSO V3-ELIT_LOG,18.0
PSO V3-ELIT_LOG,18.0
PSO V3-ELIT_LOG,18.0
PSO V3-ELIT_LOG,18.0
PSO V3-ELIT_LOG,17.0
PSO V3-ELIT_LOG,17.0
PSO V3-ELIT_LOG,18.0
PSO V3-ELIT_LOG,18.0
PSO V3-ELIT_LOG,18.0
PSO V3-ELIT_LOG,18.0
PSO V3-ELIT_LOG,18.0
PSO V3-ELIT_PIECE,18.0
PSO V3-ELIT_PIECE,18.0
PSO V3-ELIT_PIECE,18.0
PSO V3-ELIT_PIECE,18.0
PSO V3-ELIT_PIECE,18.0
PSO V3-ELIT_PIECE,17.0
PSO V3-ELIT_PIECE,18.0
PSO V3-ELIT_PIECE,18.0
PSO V3-ELIT_PIECE,18.0
PSO V3-ELIT_PIECE,18.0
PSO V3-ELIT_PIECE,18.0
PSO V3-ELIT_PIECE,18.0
PSO V3-ELIT_PIECE,18.0
PSO V3-ELIT_PIECE,18.0
PSO V3-ELIT_PIECE,18.0
PSO V3-ELIT_PIECE,18.0
PSO V3-ELIT_PIECE,18.0
PSO V3-ELIT_PIECE,18.0
PSO V3-ELIT_PIECE,18.0
PSO V3-ELIT_PIECE,18.0
PSO V3-ELIT_PIECE,18.0
PSO V3-ELIT_PIECE,18.0
PSO V3-ELIT_PIECE,18.0
PSO V3-ELIT_PIECE,19.0
PSO V3-ELIT_PIECE,17.0
PSO V3-ELIT_PIECE,18.0
PSO V3-ELIT_PIECE,18.0
PSO V3-ELIT_PIECE,18.0
PSO V3-ELIT_PIECE,18.0
PSO V3-ELIT_PIECE,18.0
PSO V3-ELIT_PIECE,18.0
PSO V3-ELIT_SINE,18.0
PSO V3-ELIT_SINE,18.0
