experimento,fitness
PSO V3-STD,26.0
PSO V3-STD,26.0
PSO V3-STD,23.0
PSO V3-STD,24.0
PSO V3-STD,22.0
PSO V3-STD,24.0
PSO V3-STD,27.0
PSO V3-STD,28.0
PSO V3-STD,27.0
PSO V3-STD,25.0
PSO V3-STD,27.0
PSO V3-STD,24.0
PSO V3-STD,25.0
PSO V3-STD,26.0
PSO V3-STD,24.0
PSO V3-STD,24.0
PSO V3-STD,26.0
PSO V3-STD,26.0
PSO V3-STD,25.0
PSO V3-STD,24.0
PSO V3-STD,27.0
PSO V3-STD,26.0
PSO V3-STD,26.0
PSO V3-STD,24.0
PSO V3-STD,24.0
PSO V3-STD,24.0
PSO V3-STD,26.0
PSO V3-STD,24.0
PSO V3-STD,23.0
PSO V3-STD,26.0
PSO V3-STD,26.0
PSO V3-STD_LOG,26.0
PSO V3-STD_LOG,24.0
PSO V3-STD_LOG,25.0
PSO V3-STD_LOG,24.0
PSO V3-STD_LOG,25.0
PSO V3-STD_LOG,24.0
PSO V3-STD_LOG,24.0
PSO V3-STD_LOG,25.0
PSO V3-STD_LOG,24.0
PSO V3-STD_LOG,23.0
PSO V3-STD_LOG,24.0
PSO V3-STD_LOG,25.0
PSO V3-STD_LOG,27.0
PSO V3-STD_LOG,26.0
PSO V3-STD_LOG,22.0
PSO V3-STD_LOG,24.0
PSO V3-STD_LOG,23.0
PSO V3-STD_LOG,26.0
PSO V3-STD_LOG,27.0
PSO V3-STD_LOG,25.0
PSO V3-STD_LOG,26.0
PSO V3-STD_LOG,25.0
PSO V3-STD_LOG,25.0
PSO V3-STD_LOG,25.0
PSO V3-STD_LOG,26.0
PSO V3-STD_LOG,25.0
PSO V3-STD_LOG,27.0
PSO V3-STD_LOG,24.0
PSO V3-STD_LOG,25.0
PSO V3-STD_LOG,24.0
PSO V3-STD_LOG,25.0
PSO V3-STD_PIECE,22.0
PSO V3-STD_PIECE,25.0
PSO V3-STD_PIECE,24.0
PSO V3-STD_PIECE,25.0
PSO V3-STD_PIECE,25.0
PSO V3-STD_PIECE,27.0
PSO V3-STD_PIECE,26.0
PSO V3-STD_PIECE,24.0
PSO V3-STD_PIECE,27.0
PSO V3-STD_PIECE,25.0
PSO V3-STD_PIECE,27.0
PSO V3-STD_PIECE,24.0
PSO V3-STD_PIECE,25.0
PSO V3-STD_PIECE,25.0
PSO V3-STD_PIECE,26.0
PSO V3-STD_PIECE,28.0
PSO V3-STD_PIECE,26.0
PSO V3-STD_PIECE,25.0
PSO V3-STD_PIECE,24.0
PSO V3-STD_PIECE,26.0
PSO V3-STD_PIECE,26.0
PSO V3-STD_PIECE,25.0
PSO V3-STD_PIECE,24.0
PSO V3-STD_PIECE,26.0
PSO V3-STD_PIECE,26.0
PSO V3-STD_PIECE,25.0
PSO V3-STD_PIECE,25.0
PSO V3-STD_PIECE,23.0
PSO V3-STD_PIECE,26.0
PSO V3-STD_PIECE,25.0
PSO V3-STD_PIECE,24.0
PSO V3-STD_SINE,26.0
PSO V3-STD_SINE,27.0
PSO V3-STD_SINE,26.0
