experimento,fitness
PSO V3-STD_TENT,30.0
PSO V3-STD_TENT,29.0
PSO V3-STD_TENT,32.0
PSO V3-STD_TENT,27.0
PSO V3-STD_TENT,27.0
PSO V3-STD_TENT,27.0
PSO V3-STD_TENT,29.0
PSO V3-STD_TENT,28.0
PSO V3-STD_TENT,27.0
PSO V3-STD_TENT,30.0
PSO V3-STD_TENT,31.0
PSO V3-STD_TENT,28.0
PSO V3-STD_TENT,29.0
PSO V3-STD_TENT,28.0
PSO V3-STD_TENT,30.0
PSO V3-STD_TENT,29.0
PSO V3-STD_TENT,29.0
PSO V3-STD_TENT,27.0
PSO V3-STD_TENT,29.0
PSO V3-STD_TENT,30.0
PSO V3-STD_TENT,27.0
PSO V3-STD_TENT,30.0
PSO V3-STD_TENT,28.0
PSO V3-STD_TENT,30.0
PSO V3-STD_TENT,29.0
PSO V3-STD_TENT,27.0
PSO V3-STD_CIRCLE,31.0
PSO V3-STD_CIRCLE,29.0
PSO V3-STD_CIRCLE,29.0
PSO V3-STD_CIRCLE,30.0
PSO V3-STD_CIRCLE,30.0
PSO V3-STD_CIRCLE,27.0
PSO V3-STD_CIRCLE,29.0
PSO V3-STD_CIRCLE,31.0
PSO V3-STD_CIRCLE,30.0
PSO V3-STD_CIRCLE,28.0
PSO V3-STD_CIRCLE,27.0
PSO V3-STD_CIRCLE,30.0
PSO V3-STD_CIRCLE,31.0
PSO V3-STD_CIRCLE,27.0
PSO V3-STD_CIRCLE,27.0
PSO V3-STD_CIRCLE,30.0
PSO V3-STD_CIRCLE,30.0
PSO V3-STD_CIRCLE,31.0
PSO V3-STD_CIRCLE,29.0
PSO V3-STD_CIRCLE,28.0
PSO V3-STD_CIRCLE,31.0
PSO V3-STD_CIRCLE,30.0
PSO V3-STD_CIRCLE,29.0
PSO V3-STD_CIRCLE,29.0
PSO V3-STD_CIRCLE,28.0
PSO V3-STD_CIRCLE,28.0
PSO V3-STD_CIRCLE,29.0
PSO V3-STD_CIRCLE,28.0
PSO V3-STD_CIRCLE,29.0
PSO V3-STD_CIRCLE,28.0
PSO V3-STD_CIRCLE,31.0
PSO V3-ELIT,24.0
PSO V3-ELIT,24.0
PSO V3-ELIT,25.0
PSO V3-ELIT,23.0
PSO V3-ELIT,24.0
PSO V3-ELIT,23.0
PSO V3-ELIT,24.0
PSO V3-ELIT,23.0
PSO V3-ELIT,25.0
PSO V3-ELIT,24.0
PSO V3-ELIT,24.0
PSO V3-ELIT,25.0
PSO V3-ELIT,24.0
PSO V3-ELIT,24.0
PSO V3-ELIT,24.0
PSO V3-ELIT,24.0
PSO V3-ELIT,24.0
PSO V3-ELIT,26.0
PSO V3-ELIT,23.0
PSO V3-ELIT,24.0
PSO V3-ELIT,25.0
PSO V3-ELIT,23.0
PSO V3-ELIT,25.0
PSO V3-ELIT,24.0
PSO V3-ELIT,24.0
PSO V3-ELIT,24.0
PSO V3-ELIT,24.0
PSO V3-ELIT,24.0
PSO V3-ELIT,25.0
PSO V3-ELIT,24.0
PSO V3-ELIT,24.0
PSO V3-ELIT_LOG,24.0
PSO V3-ELIT_LOG,24.0
PSO V3-ELIT_LOG,25.0
PSO V3-ELIT_LOG,23.0
PSO V3-ELIT_LOG,23.0
PSO V3-ELIT_LOG,23.0
PSO V3-ELIT_LOG,25.0
PSO V3-ELIT_LOG,23.0
PSO V3-ELIT_LOG,24.0
PSO V3-ELIT_LOG,23.0
PSO V3-ELIT_LOG,24.0
PSO V3-ELIT_LOG,24.0
PSO V3-ELIT_LOG,23.0
