experimento,fitness
PSO V3-STD_TENT,34.0
PSO V3-STD_TENT,32.0
PSO V3-STD_TENT,34.0
PSO V3-STD_TENT,32.0
PSO V3-STD_TENT,31.0
PSO V3-STD_TENT,32.0
PSO V3-STD_TENT,32.0
PSO V3-STD_TENT,34.0
PSO V3-STD_TENT,33.0
PSO V3-STD_TENT,32.0
PSO V3-STD_TENT,31.0
PSO V3-STD_TENT,32.0
PSO V3-STD_TENT,32.0
PSO V3-STD_TENT,33.0
PSO V3-STD_TENT,33.0
PSO V3-STD_TENT,32.0
PSO V3-STD_TENT,30.0
PSO V3-STD_TENT,32.0
PSO V3-STD_TENT,33.0
PSO V3-STD_TENT,33.0
PSO V3-STD_TENT,33.0
PSO V3-STD_TENT,34.0
PSO V3-STD_TENT,32.0
PSO V3-STD_TENT,33.0
PSO V3-STD_TENT,34.0
PSO V3-STD_TENT,32.0
PSO V3-STD_CIRCLE,32.0
PSO V3-STD_CIRCLE,32.0
PSO V3-STD_CIRCLE,33.0
PSO V3-STD_CIRCLE,32.0
PSO V3-STD_CIRCLE,32.0
PSO V3-STD_CIRCLE,31.0
PSO V3-STD_CIRCLE,33.0
PSO V3-STD_CIRCLE,33.0
PSO V3-STD_CIRCLE,33.0
PSO V3-STD_CIRCLE,32.0
PSO V3-STD_CIRCLE,32.0
PSO V3-STD_CIRCLE,33.0
PSO V3-STD_CIRCLE,32.0
PSO V3-STD_CIRCLE,32.0
PSO V3-STD_CIRCLE,32.0
PSO V3-STD_CIRCLE,33.0
PSO V3-STD_CIRCLE,33.0
PSO V3-STD_CIRCLE,32.0
PSO V3-STD_CIRCLE,32.0
PSO V3-STD_CIRCLE,30.0
PSO V3-STD_CIRCLE,32.0
PSO V3-STD_CIRCLE,31.0
PSO V3-STD_CIRCLE,32.0
PSO V3-STD_CIRCLE,34.0
PSO V3-STD_CIRCLE,31.0
PSO V3-STD_CIRCLE,33.0
PSO V3-STD_CIRCLE,34.0
PSO V3-STD_CIRCLE,32.0
PSO V3-STD_CIRCLE,33.0
PSO V3-STD_CIRCLE,31.0
PSO V3-STD_CIRCLE,32.0
PSO V3-ELIT,28.0
PSO V3-ELIT,28.0
PSO V3-ELIT,29.0
PSO V3-ELIT,25.0
PSO V3-ELIT,29.0
PSO V3-ELIT,28.0
PSO V3-ELIT,28.0
PSO V3-ELIT,28.0
PSO V3-ELIT,29.0
PSO V3-ELIT,27.0
PSO V3-ELIT,28.0
PSO V3-ELIT,28.0
PSO V3-ELIT,23.0
PSO V3-ELIT,28.0
PSO V3-ELIT,28.0
PSO V3-ELIT,29.0
PSO V3-ELIT,29.0
