iter,fitness,time,XPL,XPT,DIV
0,2412.0,0.095,100.0,0.0,0.474
1,1154.0,0.936,44.3,55.7,0.21
2,562.0,0.93,21.73,78.27,0.103
3,284.0,0.886,10.55,89.45,0.05
4,137.0,0.856,5.27,94.73,0.025
5,55.0,0.811,2.53,97.47,0.012
6,24.0,1.045,1.05,98.95,0.005
7,14.0,1.701,0.84,99.16,0.004
8,12.0,2.6,0.84,99.16,0.004
9,11.0,2.576,0.63,99.37,0.003
10,11.0,2.56,0.63,99.37,0.003
11,11.0,2.357,0.63,99.37,0.003
12,11.0,2.434,0.63,99.37,0.003
13,11.0,2.331,0.63,99.37,0.003
14,11.0,2.5,0.63,99.37,0.003
15,11.0,2.555,0.63,99.37,0.003
16,11.0,2.695,0.63,99.37,0.003
17,11.0,2.752,0.63,99.37,0.003
18,11.0,2.686,0.63,99.37,0.003
19,11.0,2.744,0.63,99.37,0.003
20,11.0,2.74,0.63,99.37,0.003
21,11.0,2.781,0.63,99.37,0.003
22,11.0,2.794,0.63,99.37,0.003
23,11.0,2.872,0.63,99.37,0.003
24,11.0,2.933,0.63,99.37,0.003
25,11.0,2.986,0.63,99.37,0.003
26,11.0,3.045,0.63,99.37,0.003
27,11.0,3.043,0.63,99.37,0.003
28,11.0,3.031,0.63,99.37,0.003
29,11.0,3.052,0.42,99.58,0.002
30,11.0,3.129,0.21,99.79,0.001
31,11.0,3.215,0.21,99.79,0.001
32,11.0,3.149,0.0,100.0,0.0
