iter,fitness,time,XPL,XPT,DIV
0,122072.0,0.068,100.0,0.0,0.475
1,16.0,0.877,41.05,58.95,0.195
2,15.0,2.546,0.42,99.58,0.002
3,15.0,3.222,0.63,99.37,0.003
4,15.0,2.904,0.63,99.37,0.003
