, ,scp41, , , ,scp51, , , ,scp61, , , ,scpa1, , , ,scpb1, , , ,scpnre1, , , ,scpnrf1, , , 
experiment ,best, avg. , std-dev, RPD,best, avg. , std-dev, RPD,best, avg. , std-dev, RPD,best, avg. , std-dev, RPD,best, avg. , std-dev, RPD,best, avg. , std-dev, RPD,best, avg. , std-dev, RPD 
GWO S2-ELIT_SINU,431.0,433.129,0.553,0.466,266.0,267.387,0.748,5.138,141.0,141.871,1.621,2.174,257.0,257.968,0.695,1.581,69.0,69.161,0.514,0.0,29.0,29.0,0.0,0.0,14.0,14.0,0.0,0.0 
GWO S2-ELIT_TENT,433.0,434.032,1.75,0.932,257.0,267.0,1.967,1.581,141.0,143.968,1.513,2.174,256.0,257.258,1.135,1.186,69.0,69.419,0.794,0.0,29.0,29.0,0.0,0.0,14.0,14.194,0.395,0.0 
GWO S2-ELIT_CIRCLE,433.0,437.387,3.941,0.932,257.0,270.323,3.613,1.581,141.0,146.968,3.053,2.174,257.0,258.839,1.483,1.581,71.0,72.452,1.266,2.899,29.0,29.355,0.598,0.0,14.0,14.774,0.489,0.0 
WOA S2-STD,21913.0,23336.323,543.779,5007.925,46613.0,48308.71,763.723,18324.111,22247.0,23161.032,404.181,16021.014,71131.0,73072.0,743.448,28015.02,71885.0,73060.29,636.71,104081.159,121833.0,123741.71,906.077,420013.793,118941.0,120994.806,1081.181,849478.571 
WOA S2-STD_LOG,22000.0,23433.194,425.635,5028.205,46609.0,48206.548,798.934,18322.53,21642.0,23361.226,524.449,15582.609,71640.0,73069.29,681.73,28216.206,71311.0,72875.226,775.468,103249.275,120671.0,124274.161,1196.485,416006.897,117500.0,120597.129,1122.636,839185.714 
WOA S2-STD_PIECE,22509.0,23359.29,442.815,5146.853,46444.0,48129.613,572.023,18257.312,22245.0,23270.839,411.529,16019.565,70623.0,72828.0,674.231,27814.229,71228.0,72972.065,788.341,103128.986,121315.0,123793.0,1019.501,418227.586,118585.0,120894.968,1057.313,846935.714 
WOA S2-STD_SINE,22479.0,23347.903,409.078,5139.86,45833.0,48165.032,698.991,18015.81,21588.0,23228.871,537.502,15543.478,70778.0,73011.419,905.711,27875.494,71181.0,73041.613,725.96,103060.87,120617.0,123914.161,1294.859,415820.69,119557.0,121022.226,869.259,853878.571 
WOA S2-STD_SINGER,12461.0,13143.194,413.388,2804.662,29849.0,30583.677,290.963,11698.024,12318.0,13015.097,314.013,8826.087,46195.0,47166.613,494.852,18158.893,46037.0,47289.258,612.911,66620.29,80932.0,82155.742,679.99,278975.862,78088.0,80017.968,743.799,557671.429 
WOA S2-STD_SINU,2573.0,2881.581,127.884,499.767,6422.0,6705.355,174.695,2438.34,2493.0,2731.355,131.114,1706.522,9996.0,10723.871,389.575,3850.988,9724.0,10740.806,340.416,13992.754,19208.0,20219.387,342.749,66134.483,19006.0,19557.774,335.633,135657.143 
WOA S2-STD_TENT,22286.0,23253.839,371.268,5094.872,46896.0,48214.226,673.594,18435.968,22124.0,23263.194,363.016,15931.884,70954.0,72855.419,767.313,27945.059,71241.0,73017.484,847.175,103147.826,121438.0,123937.097,1221.243,418651.724,118815.0,120882.484,860.4,848578.571 
WOA S2-STD_CIRCLE,22035.0,23224.548,544.632,5036.364,46838.0,48131.0,709.349,18413.043,22236.0,23340.065,458.738,16013.043,71152.0,72694.968,853.133,28023.32,71165.0,73079.29,827.528,103037.681,121134.0,123449.0,1224.072,417603.448,117239.0,120306.935,1256.101,837321.429 
WOA S2-COM,14150.0,14718.935,238.972,3198.368,29139.0,31400.935,631.022,11417.391,14552.0,14817.774,139.749,10444.928,45456.0,47806.903,990.675,17866.798,46694.0,48085.323,632.402,67572.464,79057.0,81171.548,1004.537,272510.345,74926.0,79035.484,1234.877,535085.714 
WOA S2-COM_LOG,13484.0,14405.29,282.302,3043.124,29222.0,30645.774,565.652,11450.198,13767.0,14426.645,248.328,9876.087,42614.0,46740.161,1117.322,16743.478,44991.0,46896.484,766.785,65104.348,78163.0,79857.097,704.405,269427.586,74596.0,77502.323,1029.878,532728.571 
WOA S2-COM_PIECE,14032.0,14788.323,285.109,3170.862,29253.0,31445.0,697.172,11462.451,13850.0,14768.258,307.168,9936.232,45653.0,47918.097,889.652,17944.664,46780.0,48071.032,821.629,67697.101,78987.0,81126.903,1235.709,272268.966,76403.0,79481.581,1305.661,545635.714 
WOA S2-COM_SINE,13050.0,15058.935,508.257,2941.958,31860.0,32441.194,329.485,12492.885,13808.0,15139.161,340.812,9905.797,47154.0,48974.613,732.1,18537.945,46847.0,48979.774,989.894,67794.203,81765.0,83200.935,918.904,281848.276,78562.0,80969.129,1144.559,561057.143 
WOA S2-COM_SINGER,7530.0,8095.645,262.454,1655.245,18725.0,19721.903,350.508,7301.186,7547.0,7989.29,215.0,5368.841,28741.0,30004.806,582.917,11260.079,29008.0,30190.774,464.144,41940.58,52240.0,53692.871,806.517,180037.931,51046.0,52432.194,858.867,364514.286 
WOA S2-COM_SINU,1709.0,2010.29,131.602,298.368,4223.0,4553.484,144.54,1569.17,1534.0,1775.065,100.838,1011.594,7100.0,7418.774,166.613,2706.324,7032.0,7399.613,243.558,10091.304,11726.0,13096.774,775.651,40334.483,11556.0,12917.516,664.066,82442.857 
WOA S2-COM_TENT,13605.0,14242.29,297.559,3071.329,29587.0,30740.613,457.942,11594.466,13471.0,14166.452,273.978,9661.594,44406.0,47122.452,712.331,17451.779,44634.0,47245.355,866.731,64586.957,79868.0,81902.516,1004.975,275306.897,76888.0,79531.129,1224.821,549100.0 
WOA S2-COM_CIRCLE,16337.0,17311.29,414.767,3708.159,29542.0,30072.613,345.698,11576.68,16797.0,17460.548,339.914,12071.739,31842.0,36708.452,2709.069,12485.771,30486.0,36557.129,2985.935,44082.609,56901.0,61752.677,8207.369,196110.345,54512.0,60379.613,7928.083,389271.429 
WOA S2-ELIT,433.0,435.839,1.816,0.932,267.0,267.323,0.736,5.534,138.0,143.742,1.883,0.0,257.0,257.419,1.238,1.581,69.0,70.032,0.999,0.0,29.0,29.097,0.296,0.0,14.0,14.226,0.418,0.0 
WOA S2-ELIT_LOG,433.0,434.935,1.999,0.932,267.0,267.613,0.704,5.534,141.0,143.581,1.54,2.174,257.0,257.161,0.723,1.581,69.0,69.677,1.175,0.0,29.0,29.0,0.0,0.0,14.0,14.323,0.467,0.0 
WOA S2-ELIT_PIECE,433.0,434.677,1.974,0.932,257.0,267.258,2.214,1.581,138.0,144.419,1.519,0.0,256.0,257.194,0.78,1.186,69.0,70.161,1.194,0.0,29.0,29.0,0.0,0.0,14.0,14.419,0.493,0.0 
WOA S2-ELIT_SINE,431.0,433.968,1.823,0.466,267.0,267.581,0.752,5.534,138.0,143.645,1.637,0.0,256.0,256.871,0.335,1.186,69.0,69.677,0.894,0.0,29.0,29.032,0.177,0.0,14.0,14.419,0.493,0.0 
WOA S2-ELIT_SINGER,433.0,434.677,1.974,0.932,256.0,266.806,2.583,1.186,141.0,142.935,1.684,2.174,257.0,257.097,0.296,1.581,69.0,69.226,0.551,0.0,29.0,29.0,0.0,0.0,14.0,14.161,0.368,0.0 
WOA S2-ELIT_SINU,431.0,434.355,1.993,0.466,259.0,267.161,1.648,2.372,141.0,143.452,1.643,2.174,257.0,257.29,0.887,1.581,69.0,69.419,0.752,0.0,29.0,29.065,0.246,0.0,14.0,14.065,0.246,0.0 
