iter,fitness,time,XPL,XPT,DIV
0,149.0,0.0,100.0,0.0,0.473
1,90.0,0.081,40.59,59.41,0.192
2,58.0,0.179,25.37,74.63,0.12
3,42.0,0.266,19.87,80.13,0.094
4,34.0,0.392,19.24,80.76,0.091
5,31.0,0.433,16.28,83.72,0.077
6,30.0,0.463,13.53,86.47,0.064
7,29.0,0.435,12.68,87.32,0.06
8,29.0,0.393,11.63,88.37,0.055
9,28.0,0.405,10.57,89.43,0.05
10,28.0,0.382,9.09,90.91,0.043
11,28.0,0.383,9.51,90.49,0.045
12,28.0,0.396,10.99,89.01,0.052
13,28.0,0.4,9.51,90.49,0.045
14,28.0,0.38,8.25,91.75,0.039
15,28.0,0.39,10.78,89.22,0.051
16,28.0,0.388,8.67,91.33,0.041
17,28.0,0.417,9.09,90.91,0.043
18,28.0,0.41,11.42,88.58,0.054
19,28.0,0.373,9.73,90.27,0.046
20,28.0,0.379,9.73,90.27,0.046
21,28.0,0.398,8.03,91.97,0.038
22,28.0,0.381,7.82,92.18,0.037
23,28.0,0.379,8.03,91.97,0.038
24,28.0,0.391,7.19,92.81,0.034
25,28.0,0.392,7.82,92.18,0.037
26,28.0,0.396,8.88,91.12,0.042
27,28.0,0.397,9.51,90.49,0.045
28,28.0,0.394,9.09,90.91,0.043
29,28.0,0.349,7.61,92.39,0.036
30,28.0,0.412,10.36,89.64,0.049
31,28.0,0.366,6.77,93.23,0.032
32,28.0,0.39,10.36,89.64,0.049
33,28.0,0.392,10.57,89.43,0.05
34,28.0,0.329,6.34,93.66,0.03
35,28.0,0.387,6.34,93.66,0.03
36,28.0,0.34,8.88,91.12,0.042
37,28.0,0.391,7.61,92.39,0.036
38,28.0,0.37,7.82,92.18,0.037
39,28.0,0.376,9.09,90.91,0.043
40,28.0,0.39,7.61,92.39,0.036
41,28.0,0.403,8.67,91.33,0.041
42,28.0,0.412,8.03,91.97,0.038
43,28.0,0.407,8.25,91.75,0.039
44,28.0,0.391,10.15,89.85,0.048
45,28.0,0.422,12.05,87.95,0.057
46,28.0,0.379,6.13,93.87,0.029
47,28.0,0.412,9.3,90.7,0.044
48,28.0,0.416,9.94,90.06,0.047
49,28.0,0.417,10.15,89.85,0.048
50,28.0,0.409,9.3,90.7,0.044
51,28.0,0.352,5.5,94.5,0.026
52,28.0,0.399,9.09,90.91,0.043
53,28.0,0.399,9.94,90.06,0.047
54,28.0,0.39,7.4,92.6,0.035
55,28.0,0.391,9.51,90.49,0.045
56,28.0,0.385,8.67,91.33,0.041
57,28.0,0.348,7.19,92.81,0.034
58,28.0,0.377,9.09,90.91,0.043
59,28.0,0.355,7.61,92.39,0.036
60,28.0,0.453,12.47,87.53,0.059
61,28.0,0.386,8.46,91.54,0.04
62,28.0,0.362,7.82,92.18,0.037
63,28.0,0.437,11.21,88.79,0.053
64,28.0,0.337,5.92,94.08,0.028
65,28.0,0.45,11.21,88.79,0.053
66,28.0,0.36,5.5,94.5,0.026
67,28.0,0.402,10.15,89.85,0.048
68,28.0,0.37,8.46,91.54,0.04
69,28.0,0.438,10.57,89.43,0.05
70,28.0,0.419,10.36,89.64,0.049
71,28.0,0.385,9.73,90.27,0.046
72,28.0,0.439,11.21,88.79,0.053
73,28.0,0.422,12.68,87.32,0.06
74,28.0,0.39,9.51,90.49,0.045
75,28.0,0.384,8.67,91.33,0.041
76,28.0,0.377,6.77,93.23,0.032
77,28.0,0.378,8.88,91.12,0.042
78,28.0,0.422,11.21,88.79,0.053
79,28.0,0.387,7.61,92.39,0.036
80,28.0,0.386,8.46,91.54,0.04
