iter,fitness,time,XPL,XPT,DIV
0,23896.0,0.023,100.0,0.0,0.474
1,14771.0,0.161,41.98,58.02,0.199
2,9388.0,0.207,26.37,73.63,0.125
3,5907.0,0.42,19.2,80.8,0.091
4,3852.0,0.613,12.87,87.13,0.061
5,2306.0,0.776,10.76,89.24,0.051
6,1500.0,0.869,6.96,93.04,0.033
7,882.0,0.909,4.85,95.15,0.023
8,648.0,0.867,3.16,96.84,0.015
9,478.0,0.838,2.53,97.47,0.012
10,457.0,0.934,1.69,98.31,0.008
11,450.0,0.816,1.48,98.52,0.007
12,450.0,0.849,1.48,98.52,0.007
13,449.0,0.866,1.48,98.52,0.007
14,444.0,0.862,1.05,98.95,0.005
15,443.0,0.922,1.48,98.52,0.007
16,441.0,0.922,0.84,99.16,0.004
17,439.0,0.827,0.84,99.16,0.004
18,437.0,0.814,1.05,98.95,0.005
19,434.0,0.844,0.84,99.16,0.004
20,434.0,0.816,1.05,98.95,0.005
21,434.0,0.828,1.05,98.95,0.005
22,434.0,0.845,1.05,98.95,0.005
23,434.0,0.847,1.05,98.95,0.005
24,434.0,0.873,1.05,98.95,0.005
25,434.0,0.845,1.05,98.95,0.005
26,434.0,0.86,1.05,98.95,0.005
27,434.0,0.927,1.05,98.95,0.005
28,434.0,0.845,1.05,98.95,0.005
29,434.0,0.818,0.84,99.16,0.004
30,434.0,0.871,1.05,98.95,0.005
31,434.0,0.861,1.05,98.95,0.005
32,434.0,0.739,0.84,99.16,0.004
33,434.0,0.909,1.05,98.95,0.005
34,434.0,0.891,1.05,98.95,0.005
35,434.0,0.766,0.84,99.16,0.004
36,434.0,0.814,1.05,98.95,0.005
37,434.0,0.891,1.05,98.95,0.005
38,433.0,0.8,1.05,98.95,0.005
39,433.0,0.798,1.27,98.73,0.006
40,433.0,0.811,1.05,98.95,0.005
41,433.0,0.846,1.05,98.95,0.005
42,433.0,0.863,1.27,98.73,0.006
43,433.0,0.815,1.27,98.73,0.006
44,433.0,0.842,1.27,98.73,0.006
45,433.0,0.781,1.27,98.73,0.006
46,433.0,0.887,1.27,98.73,0.006
47,433.0,0.858,1.27,98.73,0.006
48,433.0,0.859,1.27,98.73,0.006
49,433.0,0.835,1.05,98.95,0.005
50,433.0,0.798,1.05,98.95,0.005
51,433.0,0.856,1.27,98.73,0.006
52,433.0,0.822,1.27,98.73,0.006
53,433.0,0.813,1.27,98.73,0.006
54,433.0,0.875,1.05,98.95,0.005
55,433.0,0.815,1.05,98.95,0.005
56,433.0,0.929,1.27,98.73,0.006
57,433.0,0.847,1.27,98.73,0.006
58,433.0,0.817,1.27,98.73,0.006
59,433.0,0.847,1.05,98.95,0.005
60,433.0,0.756,1.05,98.95,0.005
61,433.0,0.866,1.27,98.73,0.006
62,433.0,0.835,1.27,98.73,0.006
63,433.0,0.867,1.27,98.73,0.006
64,433.0,0.91,1.27,98.73,0.006
65,433.0,0.942,1.05,98.95,0.005
66,433.0,0.84,1.27,98.73,0.006
67,433.0,0.864,1.27,98.73,0.006
68,433.0,0.885,1.27,98.73,0.006
69,433.0,0.827,1.27,98.73,0.006
70,433.0,0.817,1.27,98.73,0.006
71,433.0,0.838,1.27,98.73,0.006
72,433.0,0.801,1.05,98.95,0.005
73,433.0,0.892,1.05,98.95,0.005
74,433.0,0.813,1.05,98.95,0.005
75,433.0,0.792,1.05,98.95,0.005
76,433.0,0.854,1.27,98.73,0.006
77,433.0,0.84,1.27,98.73,0.006
78,433.0,0.833,1.27,98.73,0.006
79,433.0,0.83,1.27,98.73,0.006
80,433.0,0.873,1.27,98.73,0.006
81,433.0,0.84,1.27,98.73,0.006
82,433.0,0.832,1.27,98.73,0.006
83,433.0,0.834,1.27,98.73,0.006
84,433.0,0.799,1.05,98.95,0.005
85,433.0,0.839,1.27,98.73,0.006
86,433.0,0.835,1.05,98.95,0.005
