, ,knapPI_1_1000_1000_1, , ,knapPI_1_100_1000_1, , ,knapPI_1_2000_1000_1, , ,knapPI_1_200_1000_1, , ,knapPI_1_500_1000_1, , ,knapPI_2_1000_1000_1, , ,knapPI_2_100_1000_1, , ,knapPI_2_2000_1000_1, , ,knapPI_2_200_1000_1, , ,knapPI_2_500_1000_1, , ,knapPI_3_1000_1000_1, , ,knapPI_3_100_1000_1, , ,knapPI_3_2000_1000_1, , ,knapPI_3_200_1000_1, , ,knapPI_3_500_1000_1, , 
experiment ,best, avg. , RPD,best, avg. , RPD,best, avg. , RPD,best, avg. , RPD,best, avg. , RPD,best, avg. , RPD,best, avg. , RPD,best, avg. , RPD,best, avg. , RPD,best, avg. , RPD,best, avg. , RPD,best, avg. , RPD,best, avg. , RPD,best, avg. , RPD,best, avg. , RPD 
GWO S2-COM_SINGER,49632.0,46531.935,8.937,9147.0,9147.0,0.0,93587.0,90654.323,15.402,11238.0,11201.903,0.0,27045.0,26142.387,6.279,8765.0,8619.419,3.171,1512.0,1512.0,0.132,17051.0,16712.903,5.54,1634.0,1633.097,0.0,4503.0,4439.516,1.38,13383.0,13052.968,6.998,2397.0,2395.29,0.0,25616.0,25264.645,11.422,2697.0,2692.323,0.0,6817.0,6462.927,4.215 
GWO S2-COM_SINU,48900.0,46937.065,10.28,9147.0,9147.0,0.0,93509.0,90323.065,15.472,11238.0,11232.677,0.0,27483.0,26101.355,4.761,8699.0,8586.387,3.9,1512.0,1512.0,0.132,17041.0,16731.677,5.595,1634.0,1630.323,0.0,4492.0,4410.032,1.621,13467.0,13030.161,6.414,2397.0,2397.0,0.0,26014.0,25318.71,10.045,2697.0,2694.323,0.0,6815.0,6659.613,4.243 
GWO S2-COM_TENT,49271.0,47830.839,9.599,9147.0,9147.0,0.0,95343.0,90914.774,13.814,11238.0,11236.935,0.0,28320.0,27390.968,1.861,8806.0,8716.194,2.718,1512.0,1512.0,0.132,17029.0,16802.548,5.662,1634.0,1633.935,0.0,4528.0,4496.516,0.832,13283.0,13102.323,7.693,2397.0,2396.903,0.0,26113.0,25271.71,9.703,2697.0,2696.935,0.0,6915.0,6787.0,2.838 
GWO S2-COM_CIRCLE,50789.0,50053.581,6.814,9147.0,9147.0,0.0,93994.0,91883.742,15.034,11238.0,11228.774,0.0,27999.0,27297.935,2.973,8869.0,8802.742,2.022,1512.0,1512.0,0.132,17005.0,16776.258,5.795,1634.0,1633.194,0.0,4537.0,4506.871,0.635,13789.0,13630.0,4.177,2397.0,2396.29,0.0,25818.0,25363.129,10.723,2697.0,2697.0,0.0,7013.0,6937.355,1.461 
GWO S2-ELIT,49583.0,46430.839,9.027,9147.0,8903.355,0.0,94037.0,90814.613,14.995,11227.0,10938.839,0.098,27516.0,26179.677,4.647,8731.0,8572.323,3.546,1512.0,1500.742,0.132,16933.0,16668.71,6.194,1634.0,1618.452,0.0,4492.0,4406.71,1.621,13284.0,13036.613,7.686,2396.0,2314.71,0.042,25619.0,25241.484,11.411,2695.0,2637.355,0.074,6916.0,6707.613,2.824 
GWO S2-ELIT_LOG,48212.0,46662.355,11.542,9147.0,8907.677,0.0,93222.0,90393.161,15.732,11227.0,10836.935,0.098,27952.0,26336.645,3.136,8767.0,8590.935,3.148,1512.0,1502.032,0.132,16984.0,16719.742,5.911,1634.0,1620.484,0.0,4495.0,4415.484,1.555,13386.0,13057.871,6.977,2397.0,2306.968,0.0,26111.0,25367.677,9.71,2697.0,2640.065,0.0,6812.0,6687.968,4.286 
GWO S2-ELIT_PIECE,49049.0,46628.677,10.007,9147.0,8910.161,0.0,95236.0,90678.806,13.911,11238.0,10882.0,0.0,27624.0,26220.355,4.273,8789.0,8587.355,2.905,1512.0,1499.581,0.132,17164.0,16792.129,4.914,1633.0,1617.871,0.061,4503.0,4409.129,1.38,13178.0,13008.161,8.423,2397.0,2330.419,0.0,25806.0,25369.774,10.765,2697.0,2650.581,0.0,6805.0,6648.258,4.384 
GWO S2-ELIT_SINE,48975.0,46480.968,10.143,9147.0,8913.871,0.0,94328.0,91036.806,14.732,11238.0,10855.935,0.0,27473.0,26107.548,4.796,8727.0,8574.194,3.59,1512.0,1499.71,0.132,17000.0,16718.613,5.822,1634.0,1623.387,0.0,4530.0,4416.065,0.788,13290.0,13011.452,7.644,2390.0,2317.355,0.292,26216.0,25342.806,9.347,2697.0,2637.516,0.0,6811.0,6658.258,4.3 
GWO S2-ELIT_SINGER,49107.0,46625.387,9.9,9147.0,8868.968,0.0,92560.0,90297.355,16.33,11227.0,10878.613,0.098,27238.0,25954.613,5.61,8752.0,8591.839,3.314,1512.0,1501.065,0.132,16954.0,16709.871,6.077,1634.0,1614.032,0.0,4532.0,4402.0,0.745,13284.0,13027.484,7.686,2396.0,2312.677,0.042,25619.0,25271.71,11.411,2697.0,2637.806,0.0,6815.0,6678.548,4.243 
GWO S2-ELIT_SINU,48424.0,46412.774,11.154,9147.0,8933.355,0.0,93540.0,90357.613,15.444,11238.0,10889.871,0.0,26995.0,26075.935,6.453,8795.0,8581.29,2.839,1512.0,1501.0,0.132,17129.0,16735.097,5.108,1634.0,1619.323,0.0,4486.0,4388.645,1.752,13482.0,13062.613,6.31,2396.0,2305.839,0.042,25817.0,25296.935,10.727,2696.0,2639.581,0.037,6889.0,6661.161,3.204 
GWO S2-ELIT_TENT,49590.0,46663.806,9.014,9147.0,8922.194,0.0,93337.0,90308.484,15.628,11227.0,10854.161,0.098,27007.0,25860.194,6.411,8753.0,8597.032,3.303,1512.0,1496.29,0.132,17059.0,16700.226,5.496,1634.0,1615.645,0.0,4500.0,4397.452,1.445,13285.0,12979.323,7.679,2390.0,2308.968,0.292,25714.0,25245.452,11.083,2697.0,2637.935,0.0,6812.0,6653.29,4.286 
GWO S2-ELIT_CIRCLE,48220.0,46387.839,11.528,9147.0,8914.226,0.0,93257.0,90411.548,15.7,11238.0,10870.516,0.0,26947.0,25897.935,6.619,8721.0,8580.774,3.657,1512.0,1501.032,0.132,16992.0,16732.355,5.867,1634.0,1618.871,0.0,4482.0,4409.484,1.84,13384.0,12997.484,6.991,2397.0,2300.452,0.0,25916.0,25247.839,10.384,2697.0,2650.129,0.0,6814.0,6676.903,4.257 
WOA S2-STD,54485.0,54352.774,0.033,9147.0,9147.0,0.0,109623.0,108875.903,0.906,11238.0,11238.0,0.0,28857.0,28856.258,0.0,9051.0,9050.0,0.011,1512.0,1512.0,0.132,18027.0,17969.613,0.133,1634.0,1634.0,0.0,4566.0,4565.484,0.0,14390.0,14329.871,0.0,2397.0,2397.0,0.0,28809.0,28617.29,0.38,2697.0,2697.0,0.0,7117.0,7117.0,0.0 
WOA S2-STD_LOG,54205.0,53928.097,0.547,9147.0,9147.0,0.0,108467.0,106985.742,1.951,11238.0,11238.0,0.0,28857.0,28845.871,0.0,9048.0,9031.484,0.044,1512.0,1512.0,0.132,17960.0,17877.871,0.504,1634.0,1634.0,0.0,4566.0,4565.613,0.0,14290.0,14235.903,0.695,2397.0,2397.0,0.0,28319.0,28210.032,2.075,2697.0,2697.0,0.0,7117.0,7116.903,0.0 
WOA S2-STD_PIECE,54503.0,54370.194,0.0,9147.0,9147.0,0.0,109791.0,105507.292,0.754,11238.0,11238.0,0.0,28857.0,28856.258,0.0,9051.0,9049.323,0.011,1512.0,1512.0,0.132,18022.0,17971.806,0.161,1634.0,1634.0,0.0,4566.0,4566.0,0.0,14389.0,14326.258,0.007,2397.0,2397.0,0.0,28713.0,28583.806,0.712,2697.0,2697.0,0.0,7117.0,7117.0,0.0 
