iter,fitness,time,XPL,XPT,DIV
0,227.0,0.016,100.0,0.0,0.476
1,134.0,0.145,40.76,59.24,0.194
2,83.0,0.197,24.16,75.84,0.115
3,54.0,0.547,16.18,83.82,0.077
4,42.0,0.902,13.66,86.34,0.065
5,34.0,1.101,13.66,86.34,0.065
6,32.0,1.29,12.39,87.61,0.059
7,31.0,1.229,11.34,88.66,0.054
8,30.0,1.389,11.97,88.03,0.057
9,29.0,1.291,10.71,89.29,0.051
10,29.0,1.432,11.76,88.24,0.056
11,29.0,1.228,10.29,89.71,0.049
12,29.0,1.274,10.29,89.71,0.049
13,29.0,1.085,7.14,92.86,0.034
14,29.0,1.171,9.03,90.97,0.043
15,29.0,1.157,8.19,91.81,0.039
16,29.0,1.134,8.4,91.6,0.04
17,29.0,1.018,6.51,93.49,0.031
18,29.0,1.217,8.4,91.6,0.04
19,29.0,1.112,9.03,90.97,0.043
20,29.0,1.111,9.45,90.55,0.045
21,29.0,0.942,6.3,93.7,0.03
22,29.0,1.027,6.3,93.7,0.03
23,29.0,1.029,6.51,93.49,0.031
24,29.0,1.06,7.14,92.86,0.034
25,29.0,1.07,7.35,92.65,0.035
26,29.0,1.278,10.92,89.08,0.052
27,29.0,1.116,8.82,91.18,0.042
28,29.0,1.053,6.93,93.07,0.033
29,29.0,0.97,5.25,94.75,0.025
30,29.0,1.085,7.56,92.44,0.036
31,29.0,0.995,7.14,92.86,0.034
32,29.0,1.002,8.19,91.81,0.039
33,29.0,0.971,6.09,93.91,0.029
34,29.0,1.2,9.24,90.76,0.044
35,29.0,1.16,9.24,90.76,0.044
36,29.0,1.056,8.19,91.81,0.039
37,29.0,1.102,7.56,92.44,0.036
38,29.0,1.083,7.35,92.65,0.035
39,29.0,0.985,5.88,94.12,0.028
40,29.0,1.101,8.61,91.39,0.041
41,29.0,1.043,7.98,92.02,0.038
42,29.0,1.206,9.03,90.97,0.043
43,29.0,1.032,6.51,93.49,0.031
44,29.0,1.071,7.35,92.65,0.035
45,29.0,1.033,7.35,92.65,0.035
46,29.0,1.112,8.61,91.39,0.041
47,29.0,1.108,8.19,91.81,0.039
48,29.0,0.982,7.98,92.02,0.038
49,29.0,1.036,6.72,93.28,0.032
50,29.0,0.954,5.67,94.33,0.027
51,29.0,1.082,7.35,92.65,0.035
52,29.0,1.123,9.03,90.97,0.043
53,29.0,1.096,9.03,90.97,0.043
54,29.0,1.029,7.56,92.44,0.036
55,29.0,1.096,8.61,91.39,0.041
56,29.0,1.214,9.45,90.55,0.045
57,29.0,1.166,9.24,90.76,0.044
58,29.0,1.017,6.93,93.07,0.033
59,29.0,1.06,6.3,93.7,0.03
60,29.0,1.136,8.82,91.18,0.042
61,29.0,1.252,6.72,93.28,0.032
62,29.0,1.232,7.56,92.44,0.036
63,29.0,1.275,7.35,92.65,0.035
64,29.0,1.423,9.45,90.55,0.045
65,29.0,1.284,8.82,91.18,0.042
66,29.0,1.221,7.14,92.86,0.034
67,29.0,1.235,6.93,93.07,0.033
68,29.0,1.306,9.66,90.34,0.046
69,29.0,1.297,8.19,91.81,0.039
70,29.0,1.235,8.19,91.81,0.039
71,29.0,1.303,8.82,91.18,0.042
72,29.0,1.317,6.72,93.28,0.032
73,29.0,1.385,9.45,90.55,0.045
74,29.0,1.314,7.98,92.02,0.038
75,29.0,1.462,9.87,90.13,0.047
76,29.0,1.066,6.72,93.28,0.032
77,29.0,1.087,5.88,94.12,0.028
78,29.0,1.224,7.98,92.02,0.038
79,29.0,1.369,7.35,92.65,0.035
80,29.0,1.285,7.14,92.86,0.034
81,29.0,1.335,6.72,93.28,0.032
82,29.0,1.349,9.66,90.34,0.046
83,29.0,1.367,7.14,92.86,0.034
84,29.0,1.236,7.14,92.86,0.034
85,29.0,1.185,8.19,91.81,0.039
86,29.0,1.06,6.3,93.7,0.03
87,29.0,1.154,7.98,92.02,0.038
88,29.0,1.176,7.14,92.86,0.034
89,29.0,1.261,9.45,90.55,0.045
90,29.0,1.135,8.61,91.39,0.041
91,29.0,1.117,6.93,93.07,0.033
92,29.0,1.418,6.09,93.91,0.029
93,29.0,0.993,4.41,95.59,0.021
94,29.0,1.499,8.82,91.18,0.042
95,29.0,1.308,7.98,92.02,0.038
96,29.0,1.345,8.4,91.6,0.04
97,29.0,1.169,6.51,93.49,0.031
98,29.0,1.278,7.14,92.86,0.034
99,29.0,1.252,8.61,91.39,0.041
100,29.0,1.184,7.77,92.23,0.037
101,29.0,1.087,7.35,92.65,0.035
102,29.0,1.105,7.14,92.86,0.034
103,29.0,1.147,7.77,92.23,0.037
104,29.0,1.071,6.93,93.07,0.033
105,29.0,1.264,9.03,90.97,0.043
106,29.0,1.231,8.82,91.18,0.042
107,29.0,1.011,6.51,93.49,0.031
108,29.0,1.248,9.87,90.13,0.047
109,29.0,1.054,7.98,92.02,0.038
110,29.0,0.983,5.67,94.33,0.027
111,29.0,1.147,7.77,92.23,0.037
112,29.0,1.121,8.19,91.81,0.039
113,29.0,0.943,6.09,93.91,0.029
114,29.0,1.155,7.35,92.65,0.035
115,29.0,1.16,8.82,91.18,0.042
116,29.0,1.016,6.3,93.7,0.03
117,29.0,1.184,9.03,90.97,0.043
