, ,scp41, , ,scp51, , ,scp61, , ,scpa1, , ,scpb1, , ,scpnre1, , ,scpnrf1, , 
experiment ,best, avg. , RPD,best, avg. , RPD,best, avg. , RPD,best, avg. , RPD,best, avg. , RPD,best, avg. , RPD,best, avg. , RPD 
GWO S2-COM_SINGER,7530.0,7876.452,1655.245,15143.0,17353.806,5885.375,6974.0,7864.0,4953.623,23538.0,26240.0,9203.557,23712.0,26392.484,34265.217,41616.0,43990.194,143403.448,40217.0,43571.355,287164.286 
GWO S2-COM_SINU,1961.0,2254.742,357.11,4148.0,4876.323,1539.526,1805.0,2070.871,1207.971,7501.0,7894.516,2864.822,7362.0,7836.129,10569.565,13487.0,14284.548,46406.897,13486.0,13847.387,96228.571 
GWO S2-COM_TENT,12663.0,13304.355,2851.748,25730.0,27590.065,10069.96,12252.0,13181.71,8778.261,40995.0,42275.806,16103.557,40223.0,42156.935,58194.203,67799.0,71223.387,233689.655,65829.0,68822.419,470107.143 
GWO S2-COM_CIRCLE,11982.0,12611.806,2693.007,29472.0,30387.0,11549.012,11951.0,12586.484,8560.145,24123.0,25003.516,9434.783,24339.0,24975.161,35173.913,58736.0,61606.452,202437.931,58470.0,60439.032,417542.857 
GWO S2-ELIT,433.0,435.065,0.932,267.0,267.29,5.534,141.0,143.516,2.174,257.0,257.0,1.581,69.0,69.613,0.0,29.0,29.032,0.0,14.0,14.226,0.0 
GWO S2-ELIT_LOG,433.0,433.903,0.932,257.0,267.097,1.581,141.0,143.194,2.174,257.0,257.065,1.581,69.0,69.516,0.0,29.0,29.0,0.0,14.0,14.097,0.0 
GWO S2-ELIT_PIECE,431.0,434.226,0.466,256.0,266.968,1.186,141.0,144.0,2.174,257.0,257.0,1.581,69.0,69.548,0.0,29.0,29.0,0.0,14.0,14.29,0.0 
GWO S2-ELIT_SINE,433.0,434.032,0.932,256.0,266.839,1.186,140.0,143.129,1.449,257.0,257.0,1.581,69.0,69.774,0.0,29.0,29.0,0.0,14.0,14.129,0.0 
GWO S2-ELIT_SINGER,433.0,434.032,0.932,267.0,267.516,5.534,141.0,142.806,2.174,257.0,257.71,1.581,69.0,69.419,0.0,29.0,29.0,0.0,14.0,14.032,0.0 
GWO S2-ELIT_SINU,431.0,433.129,0.466,266.0,267.387,5.138,141.0,141.871,2.174,257.0,257.968,1.581,69.0,69.161,0.0,29.0,29.0,0.0,14.0,14.0,0.0 
GWO S2-ELIT_TENT,433.0,434.032,0.932,257.0,267.0,1.581,141.0,143.968,2.174,256.0,257.258,1.186,69.0,69.419,0.0,29.0,29.0,0.0,14.0,14.194,0.0 
GWO S2-ELIT_CIRCLE,433.0,437.387,0.932,257.0,270.323,1.581,141.0,146.968,2.174,257.0,258.839,1.581,71.0,72.452,2.899,29.0,29.355,0.0,14.0,14.774,0.0 
WOA S2-STD,21913.0,23336.323,5007.925,46613.0,48308.71,18324.111,22247.0,23161.032,16021.014,71131.0,73072.0,28015.02,71885.0,73060.29,104081.159,121833.0,123741.71,420013.793,118941.0,120994.806,849478.571 
WOA S2-STD_LOG,22000.0,23433.194,5028.205,46609.0,48206.548,18322.53,21642.0,23361.226,15582.609,71640.0,73069.29,28216.206,71311.0,72875.226,103249.275,120671.0,124274.161,416006.897,117500.0,120597.129,839185.714 
WOA S2-STD_PIECE,22509.0,23359.29,5146.853,46444.0,48129.613,18257.312,22245.0,23270.839,16019.565,70623.0,72828.0,27814.229,71228.0,72972.065,103128.986,121315.0,123793.0,418227.586,118585.0,120894.968,846935.714 
WOA S2-STD_SINE,22479.0,23347.903,5139.86,45833.0,48165.032,18015.81,21588.0,23228.871,15543.478,70778.0,73011.419,27875.494,71181.0,73041.613,103060.87,120617.0,123914.161,415820.69,119557.0,121022.226,853878.571 
WOA S2-STD_SINGER,12461.0,13143.194,2804.662,29849.0,30583.677,11698.024,12318.0,13015.097,8826.087,46195.0,47166.613,18158.893,46037.0,47289.258,66620.29,80932.0,82155.742,278975.862,78088.0,80017.968,557671.429 
WOA S2-STD_SINU,2573.0,2881.581,499.767,6422.0,6705.355,2438.34,2493.0,2731.355,1706.522,9996.0,10723.871,3850.988,9724.0,10740.806,13992.754,19208.0,20219.387,66134.483,19006.0,19557.774,135657.143 
WOA S2-STD_TENT,22286.0,23253.839,5094.872,46896.0,48214.226,18435.968,22124.0,23263.194,15931.884,70954.0,72855.419,27945.059,71241.0,73017.484,103147.826,121438.0,123937.097,418651.724,118815.0,120882.484,848578.571 
WOA S2-STD_CIRCLE,22035.0,23224.548,5036.364,46838.0,48131.0,18413.043,22236.0,23340.065,16013.043,71152.0,72694.968,28023.32,71165.0,73079.29,103037.681,121134.0,123449.0,417603.448,117239.0,120306.935,837321.429 
WOA S2-COM,14150.0,14718.935,3198.368,29139.0,31400.935,11417.391,14552.0,14817.774,10444.928,45456.0,47806.903,17866.798,46694.0,48085.323,67572.464,79057.0,81171.548,272510.345,74926.0,79035.484,535085.714 
WOA S2-COM_LOG,13484.0,14405.29,3043.124,29222.0,30645.774,11450.198,13767.0,14426.645,9876.087,42614.0,46740.161,16743.478,44991.0,46896.484,65104.348,78163.0,79857.097,269427.586,74596.0,77502.323,532728.571 
WOA S2-COM_PIECE,14032.0,14788.323,3170.862,29253.0,31445.0,11462.451,13850.0,14768.258,9936.232,45653.0,47918.097,17944.664,46780.0,48071.032,67697.101,78987.0,81126.903,272268.966,76403.0,79481.581,545635.714 
WOA S2-COM_SINE,13050.0,15058.935,2941.958,31860.0,32441.194,12492.885,13808.0,15139.161,9905.797,47154.0,48974.613,18537.945,46847.0,48979.774,67794.203,81765.0,83200.935,281848.276,78562.0,80969.129,561057.143 
WOA S2-COM_SINGER,7530.0,8095.645,1655.245,18725.0,19721.903,7301.186,7547.0,7989.29,5368.841,28741.0,30004.806,11260.079,29008.0,30190.774,41940.58,52240.0,53692.871,180037.931,51046.0,52432.194,364514.286 
WOA S2-COM_SINU,1709.0,2010.29,298.368,4223.0,4553.484,1569.17,1534.0,1775.065,1011.594,7100.0,7418.774,2706.324,7032.0,7399.613,10091.304,11726.0,13096.774,40334.483,11556.0,12917.516,82442.857 
WOA S2-COM_TENT,13605.0,14242.29,3071.329,29587.0,30740.613,11594.466,13471.0,14166.452,9661.594,44406.0,47122.452,17451.779,44634.0,47245.355,64586.957,79868.0,81902.516,275306.897,76888.0,79531.129,549100.0 
WOA S2-COM_CIRCLE,16337.0,17311.29,3708.159,29542.0,30072.613,11576.68,16797.0,17460.548,12071.739,31842.0,36708.452,12485.771,30486.0,36557.129,44082.609,56901.0,61752.677,196110.345,54512.0,60379.613,389271.429 
WOA S2-ELIT,433.0,435.839,0.932,267.0,267.323,5.534,138.0,143.742,0.0,257.0,257.419,1.581,69.0,70.032,0.0,29.0,29.097,0.0,14.0,14.226,0.0 
WOA S2-ELIT_LOG,433.0,434.935,0.932,267.0,267.613,5.534,141.0,143.581,2.174,257.0,257.161,1.581,69.0,69.677,0.0,29.0,29.0,0.0,14.0,14.323,0.0 
WOA S2-ELIT_PIECE,433.0,434.677,0.932,257.0,267.258,1.581,138.0,144.419,0.0,256.0,257.194,1.186,69.0,70.161,0.0,29.0,29.0,0.0,14.0,14.419,0.0 
WOA S2-ELIT_SINE,431.0,433.968,0.466,267.0,267.581,5.534,138.0,143.645,0.0,256.0,256.871,1.186,69.0,69.677,0.0,29.0,29.032,0.0,14.0,14.419,0.0 
WOA S2-ELIT_SINGER,433.0,434.677,0.932,256.0,266.806,1.186,141.0,142.935,2.174,257.0,257.097,1.581,69.0,69.226,0.0,29.0,29.0,0.0,14.0,14.161,0.0 
WOA S2-ELIT_SINU,431.0,434.355,0.466,259.0,267.161,2.372,141.0,143.452,2.174,257.0,257.29,1.581,69.0,69.419,0.0,29.0,29.065,0.0,14.0,14.065,0.0 
WOA S2-ELIT_TENT,433.0,435.548,0.932,266.0,267.355,5.138,141.0,144.0,2.174,256.0,257.065,1.186,69.0,70.226,0.0,29.0,29.032,0.0,14.0,14.355,0.0 
WOA S2-ELIT_CIRCLE,433.0,441.516,0.932,269.0,276.968,6.324,145.0,150.968,5.072,257.0,259.452,1.581,70.0,73.548,1.449,29.0,29.581,0.0,14.0,15.129,0.0 
SCA S2-STD,22062.0,23141.806,5042.657,47056.0,48126.065,18499.209,22288.0,23313.29,16050.725,70807.0,72716.29,27886.957,71449.0,72866.161,103449.275,121451.0,124189.742,418696.552,118480.0,120862.097,846185.714 
SCA S2-STD_LOG,22151.0,23284.032,5063.403,46822.0,48139.645,18406.719,22244.0,23305.161,16018.841,71518.0,72871.484,28167.984,71590.0,72938.774,103653.623,120445.0,123834.097,415227.586,117617.0,120554.323,840021.429 
SCA S2-STD_PIECE,22417.0,23375.355,5125.408,45823.0,47947.677,18011.858,21731.0,23337.903,15647.101,71565.0,73091.032,28186.561,70199.0,72851.742,101637.681,120693.0,124055.613,416082.759,118989.0,120892.194,849821.429 
SCA S2-STD_SINE,21764.0,23257.548,4973.193,47115.0,48304.323,18522.53,22356.0,23204.742,16100.0,71391.0,73063.0,28117.787,70544.0,73194.677,102137.681,121806.0,123650.613,419920.69,117909.0,120624.871,842107.143 
SCA S2-STD_SINGER,13844.0,14374.581,3127.04,31705.0,32358.903,12431.621,13989.0,14401.258,10036.957,48945.0,49472.419,19245.85,48766.0,49456.032,70575.362,85403.0,85909.194,294393.103,82400.0,83489.0,588471.429 
SCA S2-STD_SINU,3348.0,3528.032,680.42,7502.0,7744.387,2865.217,3048.0,3295.935,2108.696,11120.0,11624.968,4295.257,11276.0,11768.226,16242.029,21123.0,21655.419,72737.931,20202.0,20856.677,144200.0 
SCA S2-STD_TENT,22506.0,23292.774,5146.154,46953.0,48244.581,18458.498,22170.0,23416.0,15965.217,70852.0,72971.516,27904.743,71235.0,72859.516,103139.13,121256.0,123903.323,418024.138,118589.0,120753.419,846964.286 
SCA S2-STD_CIRCLE,22573.0,23372.484,5161.772,44869.0,48154.387,17634.783,22081.0,23220.968,15900.725,70890.0,72843.323,27919.763,71153.0,73119.161,103020.29,121503.0,123690.839,418875.862,117865.0,120759.0,841792.857 
SCA S2-COM,10265.0,11041.484,2292.774,21993.0,23219.226,8592.885,9822.0,11079.194,7017.391,33603.0,35279.581,13181.818,33186.0,35487.935,47995.652,57076.0,60305.065,196713.793,57087.0,59112.71,407664.286 
SCA S2-COM_LOG,10150.0,11059.774,2265.967,21389.0,23367.806,8354.15,9907.0,11133.097,7078.986,34033.0,35606.71,13351.779,34011.0,35607.806,49191.304,59786.0,61189.645,206058.621,57427.0,59680.839,410092.857 
SCA S2-COM_PIECE,9963.0,11087.484,2222.378,22300.0,23167.419,8714.229,9594.0,11051.194,6852.174,33448.0,35530.484,13120.553,34113.0,35522.645,49339.13,58585.0,60649.194,201917.241,55992.0,58893.387,399842.857 
SCA S2-COM_SINE,11204.0,11936.516,2511.655,23834.0,25033.323,9320.553,91.77,11489.347,-33.5,36729.0,38182.581,14417.391,36477.0,37958.097,52765.217,63143.0,65128.903,217634.483,61991.0,63452.71,442692.857 
SCA S2-COM_SINGER,5887.0,6699.806,1272.261,12865.0,14081.387,4984.98,5852.0,6587.581,4140.58,20536.0,21696.677,8016.996,20356.0,21681.097,29401.449,34764.0,37684.935,119775.862,33893.0,36633.097,241992.857 
SCA S2-COM_SINU,1144.0,1616.0,166.667,2445.0,3084.29,866.403,780.0,1337.032,465.217,3715.0,4601.194,1368.379,3533.0,4347.323,5020.29,6511.0,7484.935,22351.724,6448.0,7502.677,45957.143 
SCA S2-COM_TENT,9501.0,10776.903,2114.685,21385.0,22758.871,8352.569,9828.0,10724.516,7021.739,33955.0,35266.032,13320.949,33823.0,35353.935,48918.841,58466.0,60731.226,201506.897,56062.0,58958.774,400342.857 
SCA S2-COM_CIRCLE,12445.0,13192.935,2800.932,23592.0,24891.613,9224.901,12212.0,13270.129,8749.275,31589.0,41478.806,12385.771,39811.0,41727.774,57597.101,63233.0,70737.806,217944.828,56594.0,68200.323,404142.857 
SCA S2-ELIT,433.0,433.774,0.932,259.0,267.129,2.372,141.0,143.452,2.174,257.0,257.161,1.581,69.0,69.548,0.0,29.0,29.032,0.0,14.0,14.032,0.0 
SCA S2-ELIT_LOG,431.0,434.097,0.466,267.0,267.226,5.534,141.0,143.097,2.174,256.0,257.0,1.186,69.0,69.129,0.0,29.0,29.0,0.0,14.0,14.097,0.0 
SCA S2-ELIT_PIECE,433.0,433.774,0.932,266.0,267.323,5.138,141.0,143.645,2.174,256.0,256.968,1.186,69.0,69.548,0.0,29.0,29.065,0.0,14.0,14.161,0.0 
SCA S2-ELIT_SINE,433.0,434.161,0.932,267.0,267.613,5.534,141.0,142.839,2.174,257.0,257.032,1.581,69.0,69.419,0.0,29.0,29.129,0.0,14.0,14.0,0.0 
SCA S2-ELIT_SINGER,433.0,434.387,0.932,265.0,267.323,4.743,141.0,142.29,2.174,257.0,257.839,1.581,69.0,69.226,0.0,29.0,29.0,0.0,14.0,14.0,0.0 
SCA S2-ELIT_SINU,433.0,433.419,0.932,267.0,267.29,5.534,141.0,142.161,2.174,257.0,258.355,1.581,69.0,69.194,0.0,29.0,29.0,0.0,14.0,14.0,0.0 
SCA S2-ELIT_TENT,433.0,434.161,0.932,267.0,267.323,5.534,141.0,143.645,2.174,257.0,257.0,1.581,69.0,69.516,0.0,29.0,29.065,0.0,14.0,14.161,0.0 
SCA S2-ELIT_CIRCLE,433.0,435.129,0.932,267.0,269.516,5.534,141.0,144.806,2.174,257.0,258.29,1.581,70.0,71.871,1.449,29.0,29.129,0.0,14.0,14.581,0.0 
